Startdatum,Enddatum,Ferientyp
2013-06-24,2013-08-03,Sommerferien
2013-10-04,2013-10-04,Brückentag
2013-12-23,2014-01-06,Weihnachtsferien
2014-04-16,2014-04-30,Osterferien
2014-07-14,2014-08-23,Sommerferien
2014-10-13,2014-10-25,Herbstferien
2014-12-22,2015-01-06,Weihnachtsferien
2015-04-01,2015-04-17,Osterferien
2015-07-20,2015-08-29,Sommerferien
2015-10-19,2015-10-31,Herbstferien
2015-12-23,2016-01-06,Weihnachtsferien
2016-03-24,2016-04-09,Osterferien
2016-07-25,2016-09-03,Sommerferien
2016-10-17,2016-10-28,Herbstferien
2016-12-23,2017-01-06,Weihnachtsferien
2017-04-07,2017-04-21,Osterferien
2017-07-24,2017-09-02,Sommerferien
2017-10-16,2017-10-27,Herbstferien
2017-12-21,2018-01-06,Weihnachtsferien
2018-03-29,2018-04-13,Osterferien
2018-07-09,2018-08-18,Sommerferien
2018-10-01,2018-10-19,Herbstferien
2018-12-21,2019-01-06,Weihnachtsferien
2019-04-04,2019-04-18,Osterferien
2019-06-28,2019-08-10,Sommerferien
